Date,Time (GMT),Highest,MHHW (ft),MHW (ft),MSL (ft),MTL (ft),MLW (ft),MLLW (ft),Lowest (ft),Inf
3/1/1914,0:00,4.501,3.53,NaN,2.881,NaN,NaN,2.07,1.001,0
4/1/1914,0:00,4.701,4.091,NaN,3.53,NaN,NaN,2.72,1.699,0
5/1/1914,0:00,5.699,4.76,NaN,4.199,NaN,NaN,3.291,2.402,0
6/1/1914,0:00,5,4.239,NaN,3.638,NaN,NaN,2.74,2.1,0
7/1/1914,0:00,4.4,3.891,NaN,3.31,NaN,NaN,2.369,1.699,0
8/1/1914,0:00,4.4,4.16,NaN,3.638,NaN,NaN,2.789,1.801,0
9/1/1914,0:00,5.299,4.482,NaN,4.019,NaN,NaN,3.32,2.598,0
10/1/1914,0:00,5.6,4.39,NaN,3.901,NaN,NaN,3.15,2.402,0
11/1/1914,0:00,5.098,4.36,NaN,3.78,NaN,NaN,2.969,1.401,0
12/1/1914,0:00,5.098,4.15,NaN,3.589,NaN,NaN,2.7,1.401,0
1/1/1915,0:00,4.6,3.701,NaN,3.091,NaN,NaN,2.129,0.4,0
2/1/1915,0:00,5.098,4.081,NaN,3.399,NaN,NaN,2.661,0.899,0
3/1/1915,0:00,5.098,3.862,NaN,3.219,NaN,NaN,2.359,0.699,0
4/1/1915,0:00,5,4.019,NaN,3.33,NaN,NaN,2.402,1.099,0
5/1/1915,0:00,5,4.301,NaN,3.589,NaN,NaN,2.589,1.601,0
6/1/1915,0:00,4.501,4.111,NaN,3.34,NaN,NaN,2.329,1.601,0
7/1/1915,0:00,4.6,4.101,NaN,3.409,NaN,NaN,2.402,2.001,0
8/1/1915,0:00,14.101,4.049,NaN,3.389,NaN,NaN,2.451,NaN,5
9/1/1915,0:00,5,4.482,NaN,3.891,NaN,NaN,3.081,2.799,5
10/1/1915,0:00,5.098,4.629,NaN,3.999,NaN,NaN,3.159,2.7,0
11/1/1915,0:00,4.8,4.111,NaN,3.409,NaN,NaN,2.441,0.699,0
12/1/1915,0:00,5.2,4.029,NaN,3.35,NaN,NaN,2.359,0.2,0
1/1/1916,0:00,5.098,4.199,NaN,3.54,NaN,NaN,2.612,1.201,0
6/1/1916,0:00,4.902,4.18,NaN,3.428,NaN,NaN,2.411,1.401,0
7/1/1916,0:00,5,3.881,NaN,3.209,NaN,NaN,2.231,1.499,0
8/1/1916,0:00,6.299,4.311,NaN,3.711,NaN,NaN,2.73,1.9,0
9/1/1916,0:00,5.098,4.491,NaN,3.891,NaN,NaN,3.081,2.5,0
10/1/1916,0:00,5.6,4.56,NaN,4.009,NaN,NaN,3.189,2.201,0
11/1/1916,0:00,5.2,4.291,NaN,3.579,NaN,NaN,2.69,1.201,0
12/1/1916,0:00,4.4,3.74,NaN,3.041,NaN,NaN,2.09,0.6,0
1/1/1917,0:00,4.199,3.579,NaN,2.861,NaN,NaN,1.89,1.001,0
2/1/1917,0:00,4.101,3.54,NaN,2.841,NaN,NaN,1.909,0.098,0
3/1/1917,0:00,4.501,3.99,NaN,3.35,NaN,NaN,2.402,0.899,0
4/1/1917,0:00,4.701,4.131,NaN,3.419,NaN,NaN,2.549,0.899,0
5/1/1917,0:00,5.299,4.268,NaN,3.599,NaN,NaN,2.7,2.001,0
6/1/1917,0:00,4.8,4.18,NaN,3.471,NaN,NaN,2.52,1.801,0
7/1/1917,0:00,4.6,3.862,NaN,3.159,NaN,NaN,2.149,1.201,0
8/1/1917,0:00,4.199,3.691,NaN,3.031,NaN,NaN,2.129,1.299,0
9/1/1917,0:00,5.098,4.331,NaN,3.75,NaN,NaN,2.969,2.201,0
10/1/1917,0:00,4.902,4.15,NaN,3.54,NaN,NaN,2.74,1.099,0
11/1/1917,0:00,4.199,3.55,NaN,2.89,NaN,NaN,2.001,0.699,0
12/1/1917,0:00,4.701,3.809,NaN,3.071,NaN,NaN,2.11,1.099,0
1/1/1918,0:00,4.6,3.419,NaN,2.589,NaN,NaN,1.591,0.2,0
2/1/1918,0:00,3.999,3.53,NaN,2.89,NaN,NaN,2.041,1.299,0
3/1/1918,0:00,4.199,3.701,NaN,3.11,NaN,NaN,2.3,1.699,0
4/1/1918,0:00,5.2,4.16,NaN,3.52,NaN,NaN,2.621,1.401,0
5/1/1918,0:00,5.299,4.482,NaN,3.862,NaN,NaN,2.949,2.3,0
6/1/1918,0:00,4.501,4.058,NaN,3.399,NaN,NaN,2.461,1.9,0
7/1/1918,0:00,4.6,3.921,NaN,3.31,NaN,NaN,2.451,1.801,0
8/1/1918,0:00,4.6,3.848,NaN,3.261,NaN,NaN,2.339,1.601,0
9/1/1918,0:00,4.8,4.15,NaN,3.589,NaN,NaN,2.822,2.1,0
10/1/1918,0:00,5.098,4.268,NaN,3.76,NaN,NaN,3.009,2.001,0
11/1/1918,0:00,5.2,4.111,NaN,3.428,NaN,NaN,2.539,0.2,0
12/1/1918,0:00,5.499,3.96,NaN,3.291,NaN,NaN,2.379,1.201,0
1/1/1919,0:00,4.6,3.76,NaN,3.1,NaN,NaN,2.201,0.499,0
2/1/1919,0:00,4.8,3.999,NaN,3.33,NaN,NaN,2.51,0.699,0
3/1/1919,0:00,4.902,4.229,NaN,3.629,NaN,NaN,2.89,1.499,0
4/1/1919,0:00,5.098,4.15,NaN,3.53,NaN,NaN,2.73,2.001,0
5/1/1919,0:00,5.299,4.341,NaN,3.629,NaN,NaN,2.671,1.9,0
6/1/1919,0:00,6.401,4.81,NaN,4.15,NaN,NaN,3.209,2.1,0
7/1/1919,0:00,4.4,4.058,NaN,3.442,NaN,NaN,2.612,1.801,0
8/1/1919,0:00,4.4,3.76,NaN,3.232,NaN,NaN,2.431,1.801,0
9/1/1919,0:00,12.001,4.931,NaN,4.419,NaN,NaN,3.681,3.1,0
10/1/1919,0:00,5.2,4.669,NaN,4.17,NaN,NaN,3.442,2.799,0
11/1/1919,0:00,5.4,4.649,NaN,4.131,NaN,NaN,3.36,2.5,0
12/1/1919,0:00,4.902,4.19,NaN,3.579,NaN,NaN,2.759,1.9,0
1/1/1920,0:00,4.8,4.131,NaN,3.52,NaN,NaN,2.661,1.699,0
2/1/1920,0:00,5.4,4.039,NaN,3.461,NaN,NaN,2.621,1.401,0
3/1/1920,0:00,4.902,3.901,NaN,3.241,NaN,NaN,2.431,0.801,0
4/1/1920,0:00,4.902,4.131,NaN,3.501,NaN,NaN,2.749,1.001,0
5/1/1920,0:00,5,4.268,NaN,3.671,NaN,NaN,2.841,2.3,0
6/1/1920,0:00,4.902,4.291,NaN,3.701,NaN,NaN,2.92,2.1,0
7/1/1920,0:00,4.8,4.101,NaN,3.51,NaN,NaN,2.7,2.1,0
8/1/1920,0:00,4.501,4.101,NaN,3.589,NaN,NaN,2.861,2.5,0
9/1/1920,0:00,5.4,4.219,NaN,3.711,NaN,NaN,3.051,2.3,0
10/1/1920,0:00,5.699,4.678,NaN,4.19,NaN,NaN,3.471,2.201,0
11/1/1920,0:00,6.001,4.281,NaN,3.609,NaN,NaN,2.822,1.601,0
12/1/1920,0:00,5.2,4.081,NaN,3.369,NaN,NaN,2.539,1.201,0
1/1/1921,0:00,4.8,3.97,NaN,3.428,NaN,NaN,2.749,1.499,0
2/1/1921,0:00,4.8,4.009,NaN,3.399,NaN,NaN,2.621,1.499,0
3/1/1921,0:00,5.801,4.731,NaN,4.199,NaN,NaN,3.51,2.598,0
4/1/1921,0:00,6.099,5.079,NaN,4.541,NaN,NaN,3.78,2.7,0
5/1/1921,0:00,5.801,5.089,NaN,4.491,NaN,NaN,3.74,2.999,0
6/1/1921,0:00,6.9,5.059,NaN,4.439,NaN,NaN,3.619,2.799,0
7/1/1921,0:00,5.299,4.409,NaN,3.819,NaN,NaN,2.999,2.3,0
8/1/1921,0:00,5.299,4.491,NaN,3.829,NaN,NaN,3.091,2.402,0
9/1/1921,0:00,5.299,4.78,NaN,4.331,NaN,NaN,3.72,3.301,0
10/1/1921,0:00,5.2,4.449,NaN,3.921,NaN,NaN,3.261,1.401,5
11/1/1921,0:00,4.6,4.049,NaN,3.451,NaN,NaN,2.7,1.601,0
12/1/1921,0:00,4.6,3.809,NaN,3.219,NaN,NaN,2.359,1.499,0
1/1/1922,0:00,5.299,3.921,NaN,3.301,NaN,NaN,2.53,0.299,0
2/1/1922,0:00,4.902,4.049,NaN,3.51,NaN,NaN,2.841,1.201,0
3/1/1922,0:00,5.2,4.058,NaN,3.491,NaN,NaN,2.73,1.201,0
4/1/1922,0:00,5.699,4.731,NaN,4.14,NaN,NaN,3.428,2.402,0
